i,Process10,Process20,Process30
943,17,33,46
944,17,33,46
945,17,33,46
946,17,33,46
947,17,33,46
948,17,33,46
949,17,33,46
950,17,33,46
951,17,33,46
952,17,33,46
953,17,33,46
954,17,33,46
955,17,33,46
956,17,33,46
957,17,33,47
958,17,33,47
959,17,33,47
960,17,33,47
961,17,33,47
962,17,33,47
963,17,33,47
964,17,33,47
965,17,33,47
966,17,33,47
967,17,33,47
968,17,33,47
969,17,33,47
970,17,33,47
971,17,33,47
972,17,33,47
973,17,33,47
974,17,33,47
975,17,33,47
976,17,33,47
977,17,33,47
978,17,33,47
979,17,33,47
980,17,33,47
981,17,33,47
982,17,33,47
983,17,33,47
984,17,33,47
985,17,33,47
986,17,33,47
987,17,33,47
988,17,33,47
989,17,33,47
990,17,33,47
991,17,33,47
992,17,33,47
993,17,33,47
994,17,33,47
995,17,33,47
996,17,33,47
997,17,33,47
998,17,33,47
999,17,33,47
1000,17,33,47
1001,17,33,47
1002,17,33,47
1003,17,33,47
1004,17,33,47
1005,17,33,47
1006,17,33,47
1007,17,33,47
1008,17,33,47
1009,17,33,47
1010,17,33,47
1011,17,33,47
1012,17,33,47
1013,17,33,47
1014,17,33,47
1015,17,33,47
1016,17,33,47
1017,17,33,47
1018,17,33,47
1019,17,33,47
1020,17,33,47
1021,17,33,47
1022,17,33,47
1023,17,33,47
1024,17,33,47
1025,17,33,47
1026,17,33,47
1027,17,33,47
1028,17,33,47
1029,18,37,48
1030,18,37,48
1031,18,37,48
1032,18,37,48
1033,18,37,48
1034,18,37,48
1035,18,37,48
1036,18,37,48
1037,18,37,48
1038,18,37,48
1039,18,37,48
1040,18,37,48
1041,18,37,48
1042,18,37,48
1043,18,37,48
1044,18,37,48
1045,18,37,48
1046,18,37,48
1047,18,37,48
1048,18,37,48
1049,18,37,48
1050,18,38,48
1051,18,38,48
1052,18,38,48
1053,18,38,48
1054,18,38,48
1055,18,38,48
1056,18,38,48
1057,19,38,49
1058,19,38,49
1059,19,38,49
1060,19,38,49
1061,19,38,49
1062,19,38,49
1063,19,38,49
1064,19,40,49
1065,19,40,49
1066,19,40,49
1067,19,40,49
1068,19,40,49
1069,19,40,49
1070,19,40,49
1071,19,40,49
1072,19,40,49
1073,19,40,49
1074,19,40,49
1075,19,40,49
1076,19,40,49
1077,19,40,49
1078,19,40,49
1079,19,40,49
1080,19,40,49
1081,19,40,49
1082,19,40,49
1083,19,40,49
1084,19,40,49
1085,19,40,50
1086,19,40,50
1087,19,40,50
1088,19,40,50
1089,19,40,50
1090,19,40,50
1091,19,40,50
1092,20,40,50
1093,20,40,50
1094,20,40,50
1095,20,40,50
1096,20,40,50
1097,20,40,50
1098,20,40,50
1099,20,40,50
1100,20,40,50
1101,20,40,50
